repo_full_name,clone_url,primary_language,architecture,chosen_tactic,python_files,size_bin,avg_fan_out,mi_before,mi_after,delta_mi,pct_change,outcome,pipeline_status,num_steps_applied,num_tests_run,num_new_python_files,new_files_with_mi,common_files_changed,has_syntax_error_in_new_files,syntax_error_files
QuantaAlpha/QuantaAlpha,https://github.com/QuantaAlpha/QuantaAlpha.git,Python,modular_monolith,Decomposability,135,large (80+),4.415,73.5285,74.156,0.6275,0.853,improved,applied,5,6,2,interfaces.py=100.0; planning.py=100.0,loop.py:47.8->35.9,False,
NickTikhonov/shuo,https://github.com/NickTikhonov/shuo.git,Python,modular_monolith,Localized Modification,21,small (10-30),5.381,67.4271,67.8736,0.4465,0.662,improved,applied,10,11,0,,tts.py:49.4->48.9; tts_pool.py:64.1->74.1,False,
agno-agi/dash,https://github.com/agno-agi/dash.git,Python,modular_monolith,Localized Modification,36,medium (30-80),2.333,84.9447,85.3516,0.4069,0.479,improved,applied,1,2,1,strategy.py=100.0,,False,
benbusby/whoogle-search,https://github.com/benbusby/whoogle-search.git,Python,modular_monolith,Decomposability,39,medium (30-80),4.462,66.766,67.1702,0.4042,0.605,improved,applied,8,9,7,ads.py=97.1; content.py=48.8; links.py=42.7; widgets.py=63.8; cse_strategy.py=78.0; search_orchestrator.py=63.7; search_strategy.py=84.3,search.py:58.6->66.3,False,
owengetinfo-design/PokieTicker,https://github.com/owengetinfo-design/PokieTicker.git,Python,modular_monolith,Decomposability,34,medium (30-80),3.971,60.5452,60.7865,0.2413,0.399,improved,applied,8,9,0,,alignment.py:56.4->61.7; layer1.py:41.6->40.8,False,
bahaeddinmselmi/sovereignguard,https://github.com/bahaeddinmselmi/sovereignguard.git,Python,layered,Localized Modification,75,medium (30-80),3.267,78.6421,78.793,0.1508,0.192,improved,applied,9,10,0,,base.py:74.1->73.0; cin.py:86.2->100.0; registry.py:68.3->67.0; date_of_birth.py:84.8->85.9; person_name.py:74.4->73.2,False,
uluckyXH/OpenMOSS,https://github.com/uluckyXH/OpenMOSS.git,Python,layered,Localized Modification,77,medium (30-80),3.987,76.0683,76.1145,0.0462,0.061,improved,applied,2,3,1,password_manager.py=79.7,,True,"agent_workload_stats.py(unmatched '}' (<unknown>, line 34))"
hmmnxkl/LLM-Based-Intelligent-Public-Opinion-Analytics-Assistant,https://github.com/hmmnxkl/LLM-Based-Intelligent-Public-Opinion-Analytics-Assistant.git,Python,layered,Localized Modification,69,medium (30-80),4.551,62.7272,62.7375,0.0102,0.016,improved,applied,10,11,1,base_middlewares.py=63.4,,False,
Miserlou/HerokuFreeProxy,https://github.com/Miserlou/HerokuFreeProxy.git,Python,script_based,Localized Modification,5,tiny (<10),2.0,99.9807,99.9862,0.0055,0.006,unchanged,applied,10,11,2,database.py=100.0; urls.py=100.0,,False,
fortitudelucifer/Lens_opensource,https://github.com/fortitudelucifer/Lens_opensource.git,Python,modular_monolith,(none),122,large (80+),7.623,53.3844,53.3844,0.0,0.0,unchanged,no_steps_applied,0,0,0,,,False,
Gen-Verse/OpenClaw-RL,https://github.com/Gen-Verse/OpenClaw-RL.git,Python,modular_monolith,(none),1290,large (80+),5.234,63.0127,63.0127,0.0,0.0,unchanged,no_steps_applied,0,0,0,,,False,
aiming-lab/SkillRL,https://github.com/aiming-lab/SkillRL.git,Python,modular_monolith,(none),536,large (80+),4.675,69.3465,69.3465,0.0,0.0,unchanged,no_steps_applied,0,0,0,,,False,
HKUDS/ClawWork,https://github.com/HKUDS/ClawWork.git,Python,modular_monolith,(none),59,medium (30-80),5.898,62.1611,62.1611,0.0,0.0,unchanged,no_steps_applied,0,0,0,,,False,
HKUDS/OpenSpace,https://github.com/HKUDS/OpenSpace.git,Python,modular_monolith,(none),166,large (80+),5.861,61.0326,61.0326,0.0,0.0,unchanged,no_steps_applied,0,0,0,,,False,
ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis.git,Python,modular_monolith,(none),394,large (80+),5.992,51.9198,51.9198,0.0,0.0,unchanged,no_steps_applied,0,0,0,,,False,
zornade/visura-api,https://github.com/zornade/visura-api.git,Python,script_based,Decomposability,4,tiny (<10),9.5,14.4387,14.4387,0.0,0.0,unchanged,applied,7,8,0,,,True,"auth.py(unmatched '}' (<unknown>, line 398))"
Luoyoooo/LWF-YOLO,https://github.com/Luoyoooo/LWF-YOLO.git,Python,modular_monolith,(none),191,large (80+),6.257,61.7064,61.7064,0.0,0.0,unchanged,no_steps_applied,0,0,0,,,False,
Soul-AILab/SoulX-FlashHead,https://github.com/Soul-AILab/SoulX-FlashHead.git,Python,modular_monolith,Decomposability,36,medium (30-80),4.694,63.1114,63.1114,0.0,0.0,unchanged,applied,10,11,0,,,True,"inference_service.py(unmatched '}' (<unknown>, line 152))"
pbeenigg/LittleCrawler,https://github.com/pbeenigg/LittleCrawler.git,Python,layered,Localized Modification,88,large (80+),4.432,79.2476,79.2476,0.0,0.0,unchanged,no_steps_applied,0,1,0,,,False,
ssnjr2002/stremio-gdrive,https://github.com/ssnjr2002/stremio-gdrive.git,Python,modular_monolith,Decomposability,8,tiny (<10),3.25,61.2095,61.2095,0.0,0.0,unchanged,no_steps_applied,0,1,0,,,False,
shenhao-stu/ohmycaptcha,https://github.com/shenhao-stu/ohmycaptcha.git,Python,modular_monolith,Decomposability,18,small (10-30),4.667,69.705,69.705,0.0,0.0,unchanged,no_steps_applied,0,1,0,,,False,
ResearAI/AutoFigure-Edit,https://github.com/ResearAI/AutoFigure-Edit.git,Python,script_based,Decomposability,2,tiny (<10),22.5,0.0,0.0,0.0,,unchanged,no_steps_applied,0,1,0,,,False,
lgy1027/matrix-live-diarizer,https://github.com/lgy1027/matrix-live-diarizer.git,Python,modular_monolith,Localized Modification,34,medium (30-80),5.0,67.2293,67.2293,0.0,0.0,unchanged,no_steps_applied,0,1,0,,,False,
bvsbharat/OpenOfficeRL,https://github.com/bvsbharat/OpenOfficeRL.git,Python,modular_monolith,Decomposability,40,medium (30-80),5.85,63.1957,63.1957,0.0,0.0,unchanged,no_steps_applied,0,1,0,,,False,
FigeloMan/FRechnung,https://github.com/FigeloMan/FRechnung.git,Python,script_based,Decomposability,4,tiny (<10),8.5,48.4174,48.4174,0.0,0.0,unchanged,no_steps_applied,0,1,0,,,False,
AutoForgeAI/autoforge,https://github.com/AutoForgeAI/autoforge.git,Python,layered,Decomposability,61,medium (30-80),8.23,53.8688,53.829,-0.0398,-0.074,worsened,applied,1,2,1,platform.py=51.4,,False,
TianPangJi/drf_admin,https://github.com/TianPangJi/drf_admin.git,Python,modular_monolith,Reduced Coupling,129,large (80+),1.876,94.8228,94.7318,-0.091,-0.096,worsened,applied,10,11,1,redis_service.py=83.2,permissions.py:95.8->97.5; dev.py:72.1->73.4; middleware.py:63.9->60.6,False,
tibbar213/team-manage,https://github.com/tibbar213/team-manage.git,Python,layered,Localized Modification,33,medium (30-80),4.364,72.1666,71.5061,-0.6604,-0.915,worsened,applied,1,2,1,team_status.py=49.7,,False,
yassi/dj-control-room,https://github.com/yassi/dj-control-room.git,Python,modular_monolith,Localized Modification,29,small (10-30),1.862,90.1319,89.4536,-0.6783,-0.753,worsened,applied,10,11,2,panel_admin_registrar.py=72.4; panel_validator.py=87.6,admin_integration.py:74.1->82.8; registry.py:61.0->64.6; utils.py:72.9->69.8; views.py:74.6->64.6,False,
tomateo1reg/sora2-watermark-remover-web-gui,https://github.com/tomateo1reg/sora2-watermark-remover-web-gui.git,Python,modular_monolith,Decomposability,15,small (10-30),5.0,85.5371,84.701,-0.8361,-0.977,worsened,applied,4,5,1,loader.py=70.1,server.py:53.4->54.6; system_info.py:44.5->45.3,False,
anthonylee991/gemini-superpowers-antigravity,https://github.com/anthonylee991/gemini-superpowers-antigravity.git,Python,modular_monolith,Reduced Coupling,9,tiny (<10),4.556,75.8427,74.8048,-1.0379,-1.368,worsened,applied,10,11,1,repo.py=68.7,sync.py:42.3->42.3; test_e2e.py:50.5->50.3,False,
zubair-trabzada/geo-seo-claude,https://github.com/zubair-trabzada/geo-seo-claude.git,Python,modular_monolith,Decomposability,8,tiny (<10),5.5,50.5262,49.2956,-1.2306,-2.436,worsened,applied,10,11,1,http_client.py=39.5,,False,
BIT-DataLab/Edit-Banana,https://github.com/BIT-DataLab/Edit-Banana.git,Python,modular_monolith,Decomposability,,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
dp-archive/archive,https://github.com/dp-archive/archive.git,Python,layered,(none),,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
neeltom92/sre-copilot,https://github.com/neeltom92/sre-copilot.git,Python,modular_monolith,Localized Modification,,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
164149043/chanlun,https://github.com/164149043/chanlun.git,Python,modular_monolith,Localized Modification,,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
Austin-Patrician/eastmoney,https://github.com/Austin-Patrician/eastmoney.git,Python,layered,Decomposability,,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
devgaganin/tele-userbot,https://github.com/devgaganin/tele-userbot.git,Python,script_based,Decomposability,,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
bdkoeh/survivalRAG,https://github.com/bdkoeh/survivalRAG.git,Python,modular_monolith,Localized Modification,,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
edkrueger/sars-fastapi,https://github.com/edkrueger/sars-fastapi.git,Python,layered,Reduced Coupling,,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
IreneTayler/crypto-price_service,https://github.com/IreneTayler/crypto-price_service.git,Python,layered,Reduced Coupling,,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
thu-ml/Causal-Forcing,https://github.com/thu-ml/Causal-Forcing.git,Python,modular_monolith,Decomposability,,unknown,,,,,,failed,no_static_analysis,0,0,0,,,False,
cnlimiter/codex-manager,https://github.com/cnlimiter/codex-manager.git,Python,modular_monolith,Decomposability,98,large (80+),5.663,51.7383,,,,failed,no_after_analysis,1,2,0,,,False,
bcurts/agentchattr,https://github.com/bcurts/agentchattr.git,Python,monolith,Decomposability,26,small (10-30),7.538,43.9509,,,,failed,no_after_analysis,0,1,0,,,False,
shidenggui/easytrader,https://github.com/shidenggui/easytrader.git,Python,modular_monolith,Reduced Coupling,38,medium (30-80),3.868,76.2488,,,,failed,no_after_analysis,0,1,0,,,False,
zc-zhangchen/any-auto-register,https://github.com/zc-zhangchen/any-auto-register.git,Python,modular_monolith,Localized Modification,133,large (80+),5.684,51.4844,,,,failed,no_after_analysis,4,5,0,,,False,
